cell,Donor,Region,MajorType
HBA_200622_H1930001_A46_1_P7-1-C1-J14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-K13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-K2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-N1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-O13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-O14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-O2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-P14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-A11,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-A23,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-A24,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-B11,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-B24,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-C11,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-C12,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-D11,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-D23,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-E11,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-E12,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-F24,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-G11,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-G23,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-G24,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-H12,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-H24,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-I12,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-I23,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-K24,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-L12,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-L23,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-M11,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-O23,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-O24,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P8-6-N17-P11,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-A17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-A6,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-B17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-B5,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-C6,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-D17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-D18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-G17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-H6,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-I18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-3-G18-I6,h1930001,A46,L2/3 IT
